instance,clingo-duration,clingo-timeout-occured,dlv-duration,dlv-timeout-occured,newground-duration,newground-timeout-occured
instance_05.lp,0,False,0.005098104476928711,False,0,False
instance_10.lp,0,False,0.16613268852233887,False,0,False
instance_12.lp,0,False,0.6675658226013184,False,0,False
instance_15.lp,0,False,1.770948886871338,False,0,False
instance_17.lp,0,False,7.886938095092773,False,0,False
instance_19.lp,0,False,12.19719910621643,False,0,False
instance_21.lp,0,False,18.71355628967285,False,0,False
instance_23.lp,0,False,46.58215284347534,False,0,False
instance_25.lp,0,False,77.10866141319275,False,0,False
instance_27.lp,0,False,100.76865649223328,False,0,False
instance_29.lp,0,False,185.63289880752563,False,0,False